,Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K_9,BB_9,K_BB,H_9,HR_9,WHIP,BABIP,LOB_PCT,FIP
5,하리칼라,Lions,34,12,7,3.325131526,23,23,0,0,0,0,0,135.1,552,131,60,50,14,26,0,6,1,0,70,4.663212435,1.732050333,2.692307692,8.726868986,0.932642487,1.051073279,0.268348624,0.718270572,4.08823094
6,카라이어,Twins,28,2,6,3.246833483,32,3,0,0,2,3,11,52.2,215,45,21,19,3,11,2,4,0,1,48,8.275862069,1.896551724,4.363636364,7.75862069,0.517241379,1.360153257,0.281879195,0.698924731,2.740229885
7,세라노,Wyverns,30,2,3,4.1210547,13,13,0,0,0,0,0,63.1,269,50,31,29,5,26,0,7,1,0,58,8.272583201,3.708399366,2.230769231,7.131537242,0.713153724,1.489698891,0.260115607,0.684210526,3.627892235
8,브라운,Lions,29,11,9,2.682511323,27,26,1,0,0,0,0,154.1,625,118,50,46,14,44,1,13,3,0,92,5.373134328,2.569759896,2.090909091,6.891628812,0.817650876,1.07073329,0.225108225,0.804375804,4.043608047
9,그레이싱어,Tigers,30,14,12,3.015957447,29,29,2,0,0,0,0,188.0,753,151,65,63,10,47,0,12,3,0,164,7.85106383,2.25,3.489361702,7.228723404,0.478723404,0.989361702,0.271153846,0.739795918,2.896808511
10,캘러웨이,Unicorns,31,14,7,2.867741346,27,27,0,0,0,0,0,166.1,703,171,61,53,4,35,0,8,4,0,95,5.147501505,1.896447923,2.714285714,9.265502709,0.216736905,1.137868754,0.297682709,0.734165067,3.001324503
11,구대성,Eagles,36,3,4,1.817308626,59,0,0,0,37,6,1,69.1,282,56,17,14,4,18,7,5,0,0,76,9.89869754,2.344428365,4.222222222,7.293777135,0.520984081,1.041968162,0.290502793,0.844686649,2.534298119
12,경헌호,Twins,28,2,3,3.461538462,34,3,0,0,2,2,5,52.0,216,48,23,20,3,16,1,1,1,0,28,4.846153846,2.769230769,1.75,8.307692308,0.519230769,1.038461538,0.267857143,0.690789474,3.796153846
13,장준관,Twins,25,1,0,3.648658617,11,0,0,0,0,0,0,12.1,63,19,7,5,0,6,0,1,0,1,3,2.231404959,4.462809917,0.5,14.1322314,0.0,4.049586777,0.358490566,0.730769231,4.191735537
14,신철인,Unicorns,29,2,3,2.220779221,65,0,0,0,1,7,17,77.0,326,56,25,19,4,30,0,8,1,0,85,9.935064935,3.506493506,2.833333333,6.545454545,0.467532468,0.87012987,0.261306533,0.780542986,2.836363636
15,박승민,Unicorns,29,5,5,1.817308626,61,0,0,0,38,2,0,69.1,264,48,14,14,2,11,0,4,1,0,65,8.465991317,1.432706223,5.909090909,6.251808973,0.260492041,1.157742402,0.252747253,0.813953488,2.172503618
16,신승현,Wyverns,22,8,6,3.43789887,24,21,0,0,0,0,0,107.1,457,107,52,41,9,32,2,13,1,0,53,4.453781513,2.68907563,1.65625,8.991596639,0.756302521,1.055088702,0.28,0.717360115,4.199066293
17,김태영,Bears,26,0,1,2.934789058,13,0,0,0,0,2,2,15.1,62,13,6,5,1,6,0,0,1,0,11,6.556291391,3.57615894,1.833333333,7.748344371,0.59602649,2.185430464,0.272727273,0.738636364,3.79602649
